pcs	n true_dist
0.248  10 Exp
0.515  40 Exp
0.637  70 Exp
0.699 100 Exp
0.717 130 Exp
0.794 160 Exp
0.812 190 Exp
0.831 220 Exp
0.842 250 Exp
0.887 280 Exp
0.893 310 Exp
0.906 340 Exp
0.923 370 Exp
0.927 400 Exp
0.936 430 Exp
0.938 460 Exp
0.948 490 Exp
0.944 520 Exp
0.961 550 Exp
0.962 580 Exp
0.972 610 Exp
0.974 640 Exp
0.974 670 Exp
0.969 700 Exp
0.882  10 Lindley
0.840  40 Lindley
0.863  70 Lindley
0.898 100 Lindley
0.910 130 Lindley
0.924 160 Lindley
0.941 190 Lindley
0.944 220 Lindley
0.948 250 Lindley
0.976 280 Lindley
0.976 310 Lindley
0.975 340 Lindley
0.984 370 Lindley
0.984 400 Lindley
0.987 430 Lindley
0.993 460 Lindley
0.993 490 Lindley
0.992 520 Lindley
0.994 550 Lindley
0.992 580 Lindley
0.996 610 Lindley
0.996 640 Lindley
0.995 670 Lindley
0.995 700 Lindley
