"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
1.3 20 "EXP" 0.2 89 1 "LIN" FALSE ""
2.5 100 "EXP" 0.1 16 2 "EXP" FALSE ""
0.5 40 "EXP" 0 80 3 "EXP" FALSE ""
1.5 100 "EXP" 0.1 8 4 "LIN" FALSE ""
0.1 80 "LIN" 0.2 56 5 "LIN" FALSE ""
0.1 40 "EXP" 0.2 90 6 "EXP" FALSE ""
0.9 100 "EXP" 0.1 72 7 "EXP" FALSE ""
0.5 200 "LIN" 0.1 50 8 "LIN" FALSE ""
1.5 80 "LIN" 0.2 24 9 "EXP" FALSE ""
2 100 "EXP" 0.2 64 10 "EXP" FALSE ""
0.9 20 "EXP" 0 63 11 "LIN" FALSE ""
1.5 100 "LIN" 0.2 33 12 "LIN" FALSE ""
2.5 20 "EXP" 0.1 23 13 "LIN" FALSE ""
0.9 80 "LIN" 0.2 9 14 "LIN" FALSE ""
2.5 20 "LIN" 0.1 28 15 "LIN" FALSE ""
1.3 20 "LIN" 0 71 16 "LIN" FALSE ""
0.5 80 "LIN" 0 55 17 "LIN" FALSE ""
1.3 60 "LIN" 0.2 49 18 "LIN" FALSE ""
0.9 60 "LIN" 0 78 19 "EXP" FALSE ""
2 80 "EXP" 0.1 19 20 "EXP" FALSE ""
0.9 20 "LIN" 0 54 21 "EXP" FALSE ""
1.3 80 "EXP" 0.1 80 22 "EXP" FALSE ""
2.5 60 "LIN" 0.1 90 23 "LIN" FALSE ""
0.5 40 "EXP" 0 95 24 "EXP" FALSE ""
0.9 20 "LIN" 0.2 25 25 "LIN" FALSE ""
1.3 40 "EXP" 0.1 74 26 "EXP" FALSE ""
1.5 40 "LIN" 0.2 3 27 "LIN" FALSE ""
1.5 100 "EXP" 0.1 84 28 "EXP" FALSE ""
0.1 80 "EXP" 0.2 64 29 "EXP" FALSE ""
0.5 200 "EXP" 0 58 30 "EXP" FALSE ""
2 60 "LIN" 0 52 31 "EXP" FALSE ""
0.1 60 "EXP" 0.1 9 32 "EXP" FALSE ""
0.5 20 "EXP" 0 6 33 "EXP" FALSE ""
1.5 200 "EXP" 0.2 73 34 "LIN" FALSE ""
2.5 60 "LIN" 0.2 51 35 "LIN" FALSE ""
0.5 200 "EXP" 0.1 39 36 "EXP" FALSE ""
2.5 100 "LIN" 0 63 37 "LIN" FALSE ""
1.5 100 "LIN" 0 69 38 "LIN" FALSE ""
1.5 20 "LIN" 0.1 39 39 "LIN" FALSE ""
0.9 80 "LIN" 0 58 40 "LIN" FALSE ""
1.5 40 "LIN" 0 89 41 "LIN" FALSE ""
0.1 100 "EXP" 0 18 42 "EXP" FALSE ""
1.5 20 "EXP" 0.1 52 43 "EXP" FALSE ""
0.5 100 "LIN" 0 63 44 "LIN" FALSE ""
0.1 200 "LIN" 0.1 58 45 "LIN" FALSE ""
0.5 60 "EXP" 0.2 46 46 "LIN" FALSE ""
2.5 60 "LIN" 0.1 91 47 "LIN" FALSE ""
