"mu" "n" "dist" "p_cens" "type" "rep" "id" "decision" "error" "errorMessage"
1.3 40 "EXP" 0.1 "I" 91 1 "EXP" FALSE ""
2.5 60 "LIN" 0.2 "I" 2 2 "LIN" FALSE ""
1.3 20 "EXP" 0.2 "I" 84 3 "LIN" FALSE ""
1.3 80 "EXP" 0.1 "II" 25 4 "EXP" FALSE ""
2.5 20 "EXP" 0.2 "II" 22 5 "EXP" FALSE ""
0.5 60 "EXP" 0.2 "I" 61 6 "LIN" FALSE ""
0.9 60 "LIN" 0.2 "II" 19 7 "LIN" FALSE ""
0.1 100 "EXP" 0.1 "I" 10 8 "EXP" FALSE ""
2.5 20 "LIN" 0.1 "I" 50 9 "EXP" FALSE ""
0.9 80 "EXP" 0.1 "II" 73 10 "EXP" FALSE ""
1.5 200 "EXP" 0.2 "I" 31 11 "EXP" FALSE ""
0.9 100 "EXP" 0.2 "I" 27 12 "EXP" FALSE ""
2.5 40 "EXP" 0.1 "II" 88 13 "LIN" FALSE ""
1.3 20 "LIN" 0.1 "II" 81 14 "EXP" FALSE ""
2 20 "EXP" 0.1 "I" 12 15 "LIN" FALSE ""
1.5 40 "LIN" 0.2 "II" 10 16 "LIN" FALSE ""
2 200 "LIN" 0.1 "II" 20 17 "LIN" FALSE ""
1.5 40 "LIN" 0.2 "I" 23 18 "LIN" FALSE ""
1.3 100 "EXP" 0.2 "II" 3 19 "EXP" FALSE ""
1.3 40 "EXP" 0.2 "I" 49 20 "EXP" FALSE ""
0.5 40 "LIN" 0.2 "II" 48 21 "LIN" FALSE ""
0.5 40 "LIN" 0.1 "II" 47 22 "LIN" FALSE ""
1.5 100 "LIN" 0.1 "II" 11 23 "LIN" FALSE ""
2.5 100 "EXP" 0.2 "II" 28 24 "LIN" FALSE ""
1.5 200 "LIN" 0.2 "II" 98 25 "LIN" FALSE ""
2 200 "LIN" 0.1 "I" 51 26 "LIN" FALSE ""
2 20 "LIN" 0.2 "I" 64 27 "LIN" FALSE ""
2.5 80 "LIN" 0.2 "II" 69 28 "LIN" FALSE ""
1.3 60 "LIN" 0.2 "I" 72 29 "EXP" FALSE ""
0.1 40 "EXP" 0.2 "II" 53 30 "EXP" FALSE ""
0.5 200 "EXP" 0.1 "I" 56 31 "LIN" FALSE ""
0.1 200 "EXP" 0.1 "II" 31 32 "EXP" FALSE ""
1.3 100 "EXP" 0.1 "II" 43 33 "EXP" FALSE ""
1.3 200 "LIN" 0.1 "I" 4 34 "EXP" FALSE ""
1.5 80 "LIN" 0.1 "I" 42 35 "LIN" FALSE ""
0.5 40 "LIN" 0.1 "I" 32 36 "LIN" FALSE ""
2.5 20 "EXP" 0.1 "II" 12 37 "EXP" FALSE ""
0.9 60 "EXP" 0.1 "II" 14 38 "EXP" FALSE ""
0.9 20 "LIN" 0.1 "I" 18 39 "LIN" FALSE ""
0.9 200 "LIN" 0.2 "I" 38 40 "LIN" FALSE ""
1.3 60 "EXP" 0.1 "II" 63 41 "EXP" FALSE ""
0.9 60 "LIN" 0.2 "I" 74 42 "LIN" FALSE ""
2 80 "EXP" 0.2 "I" 84 43 "EXP" FALSE ""
1.5 20 "LIN" 0.2 "I" 99 44 "LIN" FALSE ""
2.5 100 "EXP" 0.2 "I" 12 45 "LIN" FALSE ""
0.9 40 "EXP" 0.2 "I" 72 46 "EXP" FALSE ""
1.5 200 "LIN" 0.2 "II" 32 47 "LIN" FALSE ""
2 100 "EXP" 0.1 "II" 43 48 "EXP" FALSE ""
2.5 100 "LIN" 0.2 "I" 12 49 "EXP" FALSE ""
0.9 200 "LIN" 0.1 "II" 66 50 "LIN" FALSE ""
1.5 200 "EXP" 0.1 "II" 88 51 "LIN" FALSE ""
0.9 40 "EXP" 0.2 "II" 30 52 "LIN" FALSE ""
0.5 80 "EXP" 0.2 "I" 5 53 "EXP" FALSE ""
1.5 60 "LIN" 0.2 "I" 85 54 "EXP" FALSE ""
0.5 100 "LIN" 0.1 "II" 78 55 "LIN" FALSE ""
2 80 "EXP" 0.1 "II" 36 56 "EXP" FALSE ""
0.9 200 "EXP" 0.1 "II" 1 57 "EXP" FALSE ""
2 100 "LIN" 0.2 "I" 82 58 "LIN" FALSE ""
1.3 60 "EXP" 0.2 "II" 21 59 "LIN" FALSE ""
0.5 20 "EXP" 0.1 "I" 67 60 "EXP" FALSE ""
2.5 40 "LIN" 0.1 "II" 23 61 "LIN" FALSE ""
0.9 20 "LIN" 0.1 "II" 10 62 "LIN" FALSE ""
1.5 60 "EXP" 0.2 "I" 10 63 "LIN" FALSE ""
2 200 "EXP" 0.1 "II" 67 64 "LIN" FALSE ""
0.1 60 "LIN" 0.2 "I" 38 65 "LIN" FALSE ""
1.3 60 "EXP" 0.1 "I" 15 66 "EXP" FALSE ""
2 60 "LIN" 0.2 "II" 48 67 "LIN" FALSE ""
1.3 100 "EXP" 0.1 "I" 58 68 "EXP" FALSE ""
1.5 100 "LIN" 0.1 "I" 88 69 "EXP" FALSE ""
2 200 "EXP" 0.2 "I" 17 70 "EXP" FALSE ""
1.3 80 "LIN" 0.2 "I" 66 71 "LIN" FALSE ""
0.9 20 "LIN" 0.2 "I" 23 72 "EXP" FALSE ""
0.5 60 "EXP" 0.1 "II" 23 73 "EXP" FALSE ""
2 80 "EXP" 0.2 "II" 33 74 "LIN" FALSE ""
0.9 20 "LIN" 0.2 "I" 33 75 "LIN" FALSE ""
1.5 200 "EXP" 0.1 "II" 63 76 "LIN" FALSE ""
