"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
0.5 200 "EXP" 0.2 1 1 "EXP" FALSE ""
1.3 200 "LIN" 0.2 97 2 "LIN" FALSE ""
1.5 60 "EXP" 0.1 18 3 "LIN" FALSE ""
2.5 100 "LIN" 0.1 23 4 "LIN" FALSE ""
2 40 "EXP" 0.2 40 5 "EXP" FALSE ""
0.5 200 "LIN" 0.2 51 6 "LIN" FALSE ""
1.3 60 "LIN" 0.1 24 7 "LIN" FALSE ""
1.5 20 "LIN" 0.2 34 8 "LIN" FALSE ""
0.5 100 "EXP" 0.1 24 9 "EXP" FALSE ""
0.5 20 "LIN" 0.2 77 10 "EXP" FALSE ""
2 60 "EXP" 0 89 11 "LIN" FALSE ""
0.5 60 "EXP" 0 58 12 "EXP" FALSE ""
1.5 100 "LIN" 0.1 40 13 "LIN" FALSE ""
0.5 100 "EXP" 0.2 72 14 "EXP" FALSE ""
2.5 100 "LIN" 0.1 67 15 "LIN" FALSE ""
0.1 60 "EXP" 0 31 16 "EXP" FALSE ""
2 100 "LIN" 0 76 17 "LIN" FALSE ""
2.5 20 "LIN" 0.2 43 18 "LIN" FALSE ""
1.5 80 "EXP" 0.2 27 19 "EXP" FALSE ""
0.9 40 "LIN" 0 48 20 "LIN" FALSE ""
2 20 "LIN" 0 25 21 "LIN" FALSE ""
0.1 80 "EXP" 0.2 61 22 "EXP" FALSE ""
0.1 200 "LIN" 0.1 99 23 "LIN" FALSE ""
2 200 "LIN" 0.1 33 24 "LIN" FALSE ""
2 40 "EXP" 0 73 25 "LIN" FALSE ""
0.5 80 "LIN" 0 46 26 "LIN" FALSE ""
0.9 40 "LIN" 0 17 27 "LIN" FALSE ""
2 60 "EXP" 0.1 85 28 "EXP" FALSE ""
0.1 80 "EXP" 0.1 56 29 "EXP" FALSE ""
0.9 80 "EXP" 0.1 59 30 "EXP" FALSE ""
0.9 100 "LIN" 0.1 32 31 "LIN" FALSE ""
2.5 100 "LIN" 0.2 88 32 "EXP" FALSE ""
1.5 40 "LIN" 0 97 33 "EXP" FALSE ""
2.5 100 "LIN" 0.1 19 34 "LIN" FALSE ""
2.5 60 "LIN" 0.1 99 35 "LIN" FALSE ""
1.5 80 "EXP" 0.1 20 36 "LIN" FALSE ""
0.1 80 "EXP" 0.1 49 37 "LIN" FALSE ""
0.9 200 "LIN" 0.1 2 38 "LIN" FALSE ""
1.5 20 "LIN" 0.1 99 39 "LIN" FALSE ""
2.5 100 "LIN" 0 89 40 "LIN" FALSE ""
2.5 80 "LIN" 0 44 41 "LIN" FALSE ""
1.5 40 "LIN" 0 79 42 "EXP" FALSE ""
0.1 80 "EXP" 0 93 43 "EXP" FALSE ""
1.3 40 "EXP" 0.2 24 44 "EXP" FALSE ""
0.1 200 "EXP" 0.1 85 45 "EXP" FALSE ""
1.5 200 "EXP" 0 59 46 "LIN" FALSE ""
0.5 40 "LIN" 0 26 47 "LIN" FALSE ""
1.5 40 "EXP" 0 86 48 "LIN" FALSE ""
0.9 80 "LIN" 0.2 38 49 "LIN" FALSE ""
2.5 60 "LIN" 0 42 50 "EXP" FALSE ""
1.3 40 "LIN" 0 23 51 "LIN" FALSE ""
2 100 "EXP" 0 81 52 "EXP" FALSE ""
2.5 60 "EXP" 0 27 53 "LIN" FALSE ""
0.9 100 "EXP" 0 53 54 "LIN" FALSE ""
2 20 "EXP" 0.1 86 55 "EXP" FALSE ""
2.5 60 "EXP" 0 19 56 "LIN" FALSE ""
0.5 60 "LIN" 0.2 30 57 "LIN" FALSE ""
1.3 40 "LIN" 0.1 61 58 "EXP" FALSE ""
0.1 80 "LIN" 0.2 49 59 "LIN" FALSE ""
0.1 100 "LIN" 0.2 54 60 "LIN" FALSE ""
2.5 20 "LIN" 0.2 70 61 "LIN" FALSE ""
1.5 40 "EXP" 0 13 62 "EXP" FALSE ""
0.5 60 "LIN" 0 95 63 "LIN" FALSE ""
0.5 60 "LIN" 0.2 54 64 "LIN" FALSE ""
0.9 80 "EXP" 0.2 56 65 "EXP" FALSE ""
2 40 "EXP" 0 3 66 "LIN" FALSE ""
2.5 200 "EXP" 0.2 50 67 "EXP" FALSE ""
2 40 "EXP" 0.2 44 68 "LIN" FALSE ""
0.5 20 "LIN" 0.1 89 69 "LIN" FALSE ""
1.3 60 "LIN" 0.2 16 70 "LIN" FALSE ""
1.5 40 "EXP" 0.2 10 71 "EXP" FALSE ""
0.5 200 "EXP" 0 69 72 "EXP" FALSE ""
0.9 100 "EXP" 0.1 98 73 "EXP" FALSE ""
1.5 100 "LIN" 0.2 93 74 "LIN" FALSE ""
2.5 80 "EXP" 0 88 75 "EXP" FALSE ""
1.5 20 "EXP" 0 32 76 "LIN" FALSE ""
1.5 20 "EXP" 0.1 79 77 "LIN" FALSE ""
1.5 100 "LIN" 0 64 78 "LIN" FALSE ""
0.9 20 "EXP" 0.2 80 79 "EXP" FALSE ""
0.9 20 "LIN" 0 76 80 "EXP" FALSE ""
0.1 60 "LIN" 0 98 81 "LIN" FALSE ""
0.5 60 "LIN" 0.2 16 82 "LIN" FALSE ""
0.5 80 "LIN" 0 59 83 "LIN" FALSE ""
0.9 80 "LIN" 0 63 84 "LIN" FALSE ""
2.5 60 "EXP" 0 59 85 "LIN" FALSE ""
0.9 200 "LIN" 0.2 30 86 "LIN" FALSE ""
1.3 200 "LIN" 0.2 11 87 "LIN" FALSE ""
0.5 40 "EXP" 0.2 77 88 "EXP" FALSE ""
0.9 80 "EXP" 0 10 89 "LIN" FALSE ""
2 40 "EXP" 0 61 90 "EXP" FALSE ""
2 20 "EXP" 0.2 23 91 "EXP" FALSE ""
2.5 80 "EXP" 0.1 25 92 "EXP" FALSE ""
2 40 "EXP" 0.2 2 93 "EXP" FALSE ""
0.9 40 "EXP" 0 22 94 "EXP" FALSE ""
0.5 60 "LIN" 0 89 95 "LIN" FALSE ""
0.5 200 "EXP" 0 52 96 "LIN" FALSE ""
0.5 20 "EXP" 0.1 52 97 "EXP" FALSE ""
0.9 200 "LIN" 0.1 23 98 "LIN" FALSE ""
1.5 100 "LIN" 0.2 45 99 "LIN" FALSE ""
1.5 20 "LIN" 0.1 52 100 "EXP" FALSE ""
0.5 100 "LIN" 0.1 10 101 "LIN" FALSE ""
0.9 40 "EXP" 0.2 29 102 "EXP" FALSE ""
2 40 "LIN" 0.1 33 103 "LIN" FALSE ""
1.5 100 "EXP" 0.1 63 104 "LIN" FALSE ""
0.5 60 "EXP" 0 76 105 "LIN" FALSE ""
0.1 20 "LIN" 0.1 77 106 "LIN" FALSE ""
2 200 "EXP" 0 21 107 "EXP" FALSE ""
2.5 80 "LIN" 0 3 108 "EXP" FALSE ""
0.1 40 "EXP" 0.2 26 109 "LIN" FALSE ""
0.9 60 "LIN" 0.2 84 110 "LIN" FALSE ""
1.3 20 "EXP" 0.2 85 111 "LIN" FALSE ""
2.5 200 "EXP" 0 10 112 "EXP" FALSE ""
0.5 80 "LIN" 0 65 113 "LIN" FALSE ""
0.9 100 "LIN" 0.2 17 114 "LIN" FALSE ""
2 200 "EXP" 0.2 88 115 "LIN" FALSE ""
1.5 200 "LIN" 0.1 35 116 "LIN" FALSE ""
2 60 "EXP" 0.2 84 117 "LIN" FALSE ""
0.5 80 "LIN" 0.1 66 118 "LIN" FALSE ""
2 60 "LIN" 0 3 119 "EXP" FALSE ""
2.5 60 "LIN" 0.1 30 120 "LIN" FALSE ""
1.3 20 "EXP" 0.1 93 121 "LIN" FALSE ""
2 60 "LIN" 0 81 122 "EXP" FALSE ""
0.1 80 "LIN" 0 7 123 "LIN" FALSE ""
0.1 60 "LIN" 0.2 9 124 "LIN" FALSE ""
1.3 20 "EXP" 0 26 125 "EXP" FALSE ""
0.9 60 "LIN" 0.2 66 126 "EXP" FALSE ""
0.1 40 "LIN" 0 37 127 "LIN" FALSE ""
2 60 "LIN" 0.2 84 128 "EXP" FALSE ""
2 200 "EXP" 0.2 84 129 "EXP" FALSE ""
0.1 60 "LIN" 0.2 2 130 "LIN" FALSE ""
0.9 60 "LIN" 0 51 131 "LIN" FALSE ""
0.1 100 "LIN" 0.1 6 132 "LIN" FALSE ""
0.9 80 "EXP" 0 64 133 "LIN" FALSE ""
2.5 40 "EXP" 0 1 134 "EXP" FALSE ""
1.5 80 "LIN" 0 70 135 "LIN" FALSE ""
2.5 80 "LIN" 0.1 19 136 "LIN" FALSE ""
0.5 40 "LIN" 0.1 11 137 "LIN" FALSE ""
2 40 "LIN" 0.2 51 138 "LIN" FALSE ""
1.3 60 "LIN" 0.1 61 139 "LIN" FALSE ""
0.5 60 "LIN" 0.1 36 140 "LIN" FALSE ""
0.9 40 "LIN" 0.2 80 141 "LIN" FALSE ""
2.5 100 "EXP" 0.1 39 142 "EXP" FALSE ""
1.3 100 "LIN" 0 37 143 "EXP" FALSE ""
2 80 "LIN" 0.2 60 144 "LIN" FALSE ""
2.5 200 "EXP" 0.2 48 145 "EXP" FALSE ""
0.5 200 "LIN" 0.1 4 146 "LIN" FALSE ""
1.3 20 "EXP" 0.1 61 147 "LIN" FALSE ""
2.5 100 "EXP" 0.1 8 148 "LIN" FALSE ""
0.1 60 "EXP" 0.1 4 149 "EXP" FALSE ""
0.5 100 "EXP" 0 25 150 "EXP" FALSE ""
0.5 20 "LIN" 0.1 86 151 "LIN" FALSE ""
2.5 20 "LIN" 0.1 69 152 "LIN" FALSE ""
2.5 60 "EXP" 0 80 153 "EXP" FALSE ""
1.5 200 "LIN" 0.1 20 154 "LIN" FALSE ""
2 20 "EXP" 0.1 10 155 "EXP" FALSE ""
2.5 200 "EXP" 0.2 6 156 "EXP" FALSE ""
2 60 "LIN" 0.2 12 157 "LIN" FALSE ""
2 200 "EXP" 0.1 4 158 "EXP" FALSE ""
0.5 20 "EXP" 0.1 97 159 "EXP" FALSE ""
1.3 40 "LIN" 0.2 22 160 "LIN" FALSE ""
1.5 80 "EXP" 0.1 7 161 "LIN" FALSE ""
0.9 60 "LIN" 0 59 162 "LIN" FALSE ""
2.5 200 "EXP" 0.1 79 163 "LIN" FALSE ""
1.3 80 "LIN" 0 22 164 "LIN" FALSE ""
0.9 200 "EXP" 0 73 165 "LIN" FALSE ""
2 200 "LIN" 0.2 40 166 "LIN" FALSE ""
1.5 60 "EXP" 0.1 67 167 "LIN" FALSE ""
1.3 80 "EXP" 0 57 168 "EXP" FALSE ""
2 100 "LIN" 0 53 169 "LIN" FALSE ""
0.9 40 "LIN" 0 81 170 "LIN" FALSE ""
2.5 80 "EXP" 0.2 100 171 "EXP" FALSE ""
2.5 60 "EXP" 0.1 76 172 "EXP" FALSE ""
2 40 "LIN" 0 82 173 "EXP" FALSE ""
0.9 40 "EXP" 0 11 174 "EXP" FALSE ""
2 100 "LIN" 0 38 175 "EXP" FALSE ""
0.5 40 "LIN" 0.1 81 176 "LIN" FALSE ""
0.1 40 "EXP" 0.1 57 177 "LIN" FALSE ""
0.1 100 "EXP" 0 64 178 "EXP" FALSE ""
2 40 "LIN" 0.2 7 179 "LIN" FALSE ""
1.3 60 "LIN" 0.1 50 180 "LIN" FALSE ""
2.5 60 "LIN" 0 51 181 "LIN" FALSE ""
2.5 20 "EXP" 0 22 182 "LIN" FALSE ""
1.5 20 "EXP" 0 85 183 "LIN" FALSE ""
1.5 40 "LIN" 0.2 34 184 "LIN" FALSE ""
0.9 100 "LIN" 0.2 42 185 "LIN" FALSE ""
1.5 60 "LIN" 0 15 186 "EXP" FALSE ""
1.5 60 "EXP" 0.2 36 187 "EXP" FALSE ""
2 200 "EXP" 0 29 188 "EXP" FALSE ""
0.9 60 "EXP" 0 95 189 "EXP" FALSE ""
2.5 100 "LIN" 0.2 71 190 "LIN" FALSE ""
0.5 40 "EXP" 0.2 31 191 "EXP" FALSE ""
0.1 20 "LIN" 0.1 44 192 "LIN" FALSE ""
0.1 200 "EXP" 0.1 44 193 "EXP" FALSE ""
1.3 100 "LIN" 0 52 194 "LIN" FALSE ""
0.5 20 "EXP" 0.1 44 195 "EXP" FALSE ""
1.5 60 "EXP" 0.2 12 196 "EXP" FALSE ""
1.5 60 "LIN" 0.2 14 197 "LIN" FALSE ""
0.1 80 "EXP" 0.2 15 198 "EXP" FALSE ""
1.3 100 "LIN" 0.1 5 199 "LIN" FALSE ""
1.3 40 "EXP" 0 26 200 "EXP" FALSE ""
2.5 200 "EXP" 0 19 201 "LIN" FALSE ""
2 200 "LIN" 0 10 202 "LIN" FALSE ""
1.3 80 "EXP" 0.1 81 203 "EXP" FALSE ""
0.1 200 "LIN" 0.1 70 204 "LIN" FALSE ""
1.3 100 "LIN" 0 8 205 "EXP" FALSE ""
2 80 "LIN" 0.1 6 206 "LIN" FALSE ""
1.5 200 "LIN" 0 38 207 "LIN" FALSE ""
0.9 40 "LIN" 0 92 208 "LIN" FALSE ""
2 40 "LIN" 0.2 98 209 "LIN" FALSE ""
0.9 200 "LIN" 0 45 210 "LIN" FALSE ""
0.5 80 "EXP" 0.2 78 211 "EXP" FALSE ""
0.5 20 "EXP" 0.1 94 212 "EXP" FALSE ""
2.5 100 "LIN" 0 76 213 "LIN" FALSE ""
1.5 200 "EXP" 0.2 33 214 "EXP" FALSE ""
2.5 80 "EXP" 0 53 215 "EXP" FALSE ""
0.5 60 "EXP" 0.2 73 216 "EXP" FALSE ""
