"mu" "n" "dist" "p_cens" "rep" "id" "decision" "error" "errorMessage"
0.9 100 "LIN" 0.1 70 1 "LIN" FALSE ""
2.5 200 "EXP" 0 19 2 "EXP" FALSE ""
1.3 60 "EXP" 0 98 3 "LIN" FALSE ""
1.3 20 "EXP" 0.1 81 4 "EXP" FALSE ""
0.1 40 "EXP" 0.2 37 5 "EXP" FALSE ""
1.5 100 "EXP" 0.1 15 6 "LIN" FALSE ""
2 60 "EXP" 0.2 16 7 "EXP" FALSE ""
2.5 100 "EXP" 0 35 8 "EXP" FALSE ""
2.5 40 "EXP" 0.2 26 9 "EXP" FALSE ""
2 40 "EXP" 0.2 71 10 "EXP" FALSE ""
1.5 40 "LIN" 0 72 11 "LIN" FALSE ""
2.5 200 "LIN" 0 21 12 "LIN" FALSE ""
0.9 80 "LIN" 0 52 13 "LIN" FALSE ""
0.5 20 "EXP" 0 45 14 "EXP" FALSE ""
1.5 200 "EXP" 0 84 15 "EXP" FALSE ""
0.1 60 "EXP" 0.2 52 16 "EXP" FALSE ""
2 100 "LIN" 0.2 27 17 "EXP" FALSE ""
0.9 200 "LIN" 0 89 18 "LIN" FALSE ""
1.5 80 "EXP" 0.2 89 19 "EXP" FALSE ""
2 20 "LIN" 0.2 63 20 "LIN" FALSE ""
0.1 100 "EXP" 0.1 27 21 "EXP" FALSE ""
2 100 "EXP" 0 39 22 "LIN" FALSE ""
0.9 100 "LIN" 0.2 35 23 "EXP" FALSE ""
0.9 200 "LIN" 0 18 24 "LIN" FALSE ""
2.5 80 "LIN" 0 86 25 "LIN" FALSE ""
0.9 40 "EXP" 0.2 16 26 "EXP" FALSE ""
2.5 100 "LIN" 0.1 61 27 "LIN" FALSE ""
1.3 60 "EXP" 0 62 28 "LIN" FALSE ""
2.5 80 "EXP" 0.2 93 29 "EXP" FALSE ""
2.5 20 "LIN" 0.2 18 30 "LIN" FALSE ""
2.5 40 "LIN" 0 1 31 "LIN" FALSE ""
0.9 20 "LIN" 0.1 11 32 "LIN" FALSE ""
0.9 200 "LIN" 0.2 43 33 "LIN" FALSE ""
0.9 60 "LIN" 0.2 38 34 "LIN" FALSE ""
0.1 80 "EXP" 0.1 70 35 "EXP" FALSE ""
0.9 60 "EXP" 0.2 74 36 "EXP" FALSE ""
1.5 60 "EXP" 0 85 37 "LIN" FALSE ""
0.5 100 "EXP" 0 90 38 "LIN" FALSE ""
1.5 200 "LIN" 0 37 39 "EXP" FALSE ""
0.9 200 "LIN" 0 79 40 "LIN" FALSE ""
0.9 100 "LIN" 0.1 14 41 "LIN" FALSE ""
1.5 40 "EXP" 0 92 42 "EXP" FALSE ""
0.5 20 "LIN" 0 63 43 "LIN" FALSE ""
0.1 100 "LIN" 0.2 98 44 "LIN" FALSE ""
0.5 40 "EXP" 0.2 52 45 "LIN" FALSE ""
1.3 80 "EXP" 0.2 37 46 "LIN" FALSE ""
1.5 100 "EXP" 0 17 47 "EXP" FALSE ""
2 200 "EXP" 0.1 70 48 "EXP" FALSE ""
0.5 20 "LIN" 0.1 100 49 "LIN" FALSE ""
2 60 "LIN" 0.1 11 50 "LIN" FALSE ""
2 100 "LIN" 0.2 17 51 "LIN" FALSE ""
0.9 60 "LIN" 0 44 52 "LIN" FALSE ""
2.5 60 "LIN" 0.1 32 53 "LIN" FALSE ""
1.3 100 "EXP" 0 59 54 "LIN" FALSE ""
0.1 100 "LIN" 0 2 55 "LIN" FALSE ""
0.9 200 "LIN" 0.2 86 56 "EXP" FALSE ""
0.1 200 "LIN" 0.2 40 57 "LIN" FALSE ""
0.9 60 "LIN" 0.1 79 58 "EXP" FALSE ""
1.3 100 "EXP" 0 64 59 "EXP" FALSE ""
0.5 80 "EXP" 0.1 42 60 "EXP" FALSE ""
0.5 60 "EXP" 0 17 61 "EXP" FALSE ""
0.1 80 "EXP" 0 70 62 "EXP" FALSE ""
1.3 100 "EXP" 0 17 63 "EXP" FALSE ""
2.5 80 "LIN" 0.1 77 64 "EXP" FALSE ""
0.5 40 "LIN" 0.2 98 65 "LIN" FALSE ""
2.5 80 "EXP" 0.2 94 66 "EXP" FALSE ""
1.3 40 "LIN" 0 52 67 "EXP" FALSE ""
1.3 40 "LIN" 0.2 47 68 "LIN" FALSE ""
0.9 20 "EXP" 0.2 48 69 "LIN" FALSE ""
0.9 40 "LIN" 0 25 70 "LIN" FALSE ""
1.5 80 "EXP" 0.2 10 71 "EXP" FALSE ""
1.3 20 "LIN" 0.1 38 72 "LIN" FALSE ""
2 40 "LIN" 0 6 73 "LIN" FALSE ""
2.5 40 "LIN" 0.2 44 74 "LIN" FALSE ""
0.5 40 "LIN" 0.2 67 75 "LIN" FALSE ""
1.3 200 "LIN" 0 44 76 "LIN" FALSE ""
0.1 20 "LIN" 0 54 77 "LIN" FALSE ""
1.3 20 "EXP" 0 65 78 "LIN" FALSE ""
1.5 40 "EXP" 0.2 82 79 "EXP" FALSE ""
2.5 60 "LIN" 0.1 94 80 "LIN" FALSE ""
2 200 "LIN" 0 19 81 "LIN" FALSE ""
2.5 80 "LIN" 0.2 66 82 "EXP" FALSE ""
2.5 200 "EXP" 0.2 71 83 "EXP" FALSE ""
0.9 20 "LIN" 0 26 84 "LIN" FALSE ""
1.3 40 "LIN" 0.1 16 85 "LIN" FALSE ""
1.5 100 "EXP" 0 25 86 "EXP" FALSE ""
1.5 80 "EXP" 0.2 63 87 "EXP" FALSE ""
2 40 "LIN" 0 33 88 "EXP" FALSE ""
2.5 80 "LIN" 0.1 34 89 "LIN" FALSE ""
1.5 80 "LIN" 0 33 90 "LIN" FALSE ""
0.5 100 "LIN" 0.2 90 91 "LIN" FALSE ""
2.5 40 "EXP" 0.1 59 92 "EXP" FALSE ""
2 20 "LIN" 0.1 66 93 "EXP" FALSE ""
0.9 100 "EXP" 0.1 20 94 "EXP" FALSE ""
0.5 100 "LIN" 0.2 60 95 "LIN" FALSE ""
2 200 "EXP" 0 62 96 "EXP" FALSE ""
1.3 60 "LIN" 0 56 97 "LIN" FALSE ""
2.5 20 "LIN" 0.1 12 98 "LIN" FALSE ""
0.9 40 "EXP" 0 18 99 "LIN" FALSE ""
0.5 60 "EXP" 0 82 100 "EXP" FALSE ""
2 60 "EXP" 0.2 40 101 "EXP" FALSE ""
0.1 60 "LIN" 0 74 102 "LIN" FALSE ""
0.9 20 "EXP" 0 18 103 "EXP" FALSE ""
0.9 200 "LIN" 0.2 9 104 "LIN" FALSE ""
0.5 80 "EXP" 0.2 39 105 "LIN" FALSE ""
2 20 "LIN" 0.2 99 106 "EXP" FALSE ""
1.5 60 "LIN" 0.2 50 107 "LIN" FALSE ""
0.5 40 "LIN" 0.2 86 108 "LIN" FALSE ""
0.9 40 "LIN" 0 68 109 "LIN" FALSE ""
2.5 40 "EXP" 0 50 110 "EXP" FALSE ""
0.1 200 "LIN" 0.2 36 111 "LIN" FALSE ""
1.3 100 "EXP" 0.2 27 112 "LIN" FALSE ""
0.5 80 "LIN" 0 59 113 "LIN" FALSE ""
1.3 60 "LIN" 0.1 72 114 "EXP" FALSE ""
0.1 40 "LIN" 0.2 96 115 "LIN" FALSE ""
2.5 100 "LIN" 0.2 14 116 "EXP" FALSE ""
1.3 100 "EXP" 0.2 56 117 "EXP" FALSE ""
2.5 40 "EXP" 0 33 118 "LIN" FALSE ""
0.9 100 "LIN" 0.1 47 119 "LIN" FALSE ""
2.5 60 "LIN" 0.2 76 120 "LIN" FALSE ""
1.5 40 "EXP" 0.1 37 121 "EXP" FALSE ""
1.3 200 "LIN" 0.2 24 122 "LIN" FALSE ""
0.1 100 "LIN" 0.1 49 123 "LIN" FALSE ""
2.5 60 "EXP" 0 70 124 "EXP" FALSE ""
0.1 60 "EXP" 0.1 66 125 "LIN" FALSE ""
0.1 100 "EXP" 0.1 94 126 "EXP" FALSE ""
0.1 80 "EXP" 0.1 69 127 "EXP" FALSE ""
0.1 60 "LIN" 0 48 128 "LIN" FALSE ""
2 200 "EXP" 0.1 1 129 "LIN" FALSE ""
2 40 "LIN" 0.2 58 130 "EXP" FALSE ""
1.3 100 "EXP" 0.1 50 131 "LIN" FALSE ""
2.5 60 "EXP" 0 4 132 "EXP" FALSE ""
1.5 40 "LIN" 0.2 56 133 "LIN" FALSE ""
0.5 100 "EXP" 0.2 84 134 "EXP" FALSE ""
1.3 200 "EXP" 0.1 94 135 "EXP" FALSE ""
2 60 "LIN" 0 63 136 "LIN" FALSE ""
2.5 200 "LIN" 0 99 137 "LIN" FALSE ""
2 20 "EXP" 0 28 138 "EXP" FALSE ""
1.5 40 "LIN" 0 70 139 "LIN" FALSE ""
1.5 40 "EXP" 0.2 17 140 "LIN" FALSE ""
2.5 80 "LIN" 0.1 22 141 "LIN" FALSE ""
2.5 200 "EXP" 0 59 142 "EXP" FALSE ""
0.9 80 "LIN" 0.1 21 143 "LIN" FALSE ""
1.3 200 "EXP" 0.1 34 144 "LIN" FALSE ""
0.9 100 "LIN" 0.1 97 145 "LIN" FALSE ""
1.3 20 "EXP" 0.2 12 146 "EXP" FALSE ""
0.1 200 "LIN" 0 87 147 "LIN" FALSE ""
1.3 80 "LIN" 0 74 148 "LIN" FALSE ""
1.5 100 "EXP" 0.1 9 149 "EXP" FALSE ""
0.5 20 "LIN" 0.2 98 150 "LIN" FALSE ""
2.5 100 "EXP" 0.2 68 151 "EXP" FALSE ""
0.9 20 "EXP" 0.1 38 152 "EXP" FALSE ""
2 40 "LIN" 0.2 79 153 "LIN" FALSE ""
0.5 100 "EXP" 0.1 14 154 "EXP" FALSE ""
0.5 60 "LIN" 0.2 16 155 "LIN" FALSE ""
2.5 200 "EXP" 0.2 52 156 "EXP" FALSE ""
0.1 20 "LIN" 0.2 30 157 "LIN" FALSE ""
1.5 100 "EXP" 0.1 67 158 "LIN" FALSE ""
1.3 60 "EXP" 0.2 81 159 "EXP" FALSE ""
0.1 100 "LIN" 0.1 70 160 "LIN" FALSE ""
2 60 "LIN" 0.2 62 161 "LIN" FALSE ""
1.3 20 "LIN" 0.1 17 162 "LIN" FALSE ""
1.3 100 "EXP" 0.2 11 163 "EXP" FALSE ""
1.3 20 "EXP" 0.1 96 164 "EXP" FALSE ""
0.1 40 "LIN" 0.2 36 165 "LIN" FALSE ""
1.5 100 "LIN" 0 62 166 "LIN" FALSE ""
2.5 20 "LIN" 0.2 38 167 "EXP" FALSE ""
0.5 200 "EXP" 0.2 47 168 "EXP" FALSE ""
1.3 20 "LIN" 0.1 11 169 "LIN" FALSE ""
1.5 60 "LIN" 0 47 170 "LIN" FALSE ""
2 20 "LIN" 0.2 48 171 "LIN" FALSE ""
2 80 "LIN" 0.2 76 172 "LIN" FALSE ""
1.5 80 "LIN" 0.1 36 173 "LIN" FALSE ""
0.1 200 "EXP" 0.1 90 174 "EXP" FALSE ""
0.1 80 "EXP" 0 19 175 "EXP" FALSE ""
2 60 "EXP" 0.2 65 176 "EXP" FALSE ""
0.9 200 "EXP" 0.1 10 177 "EXP" FALSE ""
1.3 100 "LIN" 0.1 67 178 "LIN" FALSE ""
0.5 200 "LIN" 0 62 179 "LIN" FALSE ""
1.5 80 "LIN" 0.1 86 180 "LIN" FALSE ""
1.5 100 "LIN" 0 22 181 "LIN" FALSE ""
2 100 "LIN" 0.2 97 182 "EXP" FALSE ""
2 200 "LIN" 0 63 183 "EXP" FALSE ""
0.5 100 "EXP" 0.1 6 184 "LIN" FALSE ""
0.9 80 "LIN" 0.2 47 185 "LIN" FALSE ""
2.5 80 "LIN" 0.1 96 186 "EXP" FALSE ""
0.9 20 "LIN" 0 70 187 "LIN" FALSE ""
2 20 "LIN" 0 50 188 "LIN" FALSE ""
1.3 20 "LIN" 0.2 51 189 "EXP" FALSE ""
2.5 20 "EXP" 0.1 11 190 "LIN" FALSE ""
1.3 20 "EXP" 0.1 1 191 "LIN" FALSE ""
2.5 200 "LIN" 0 40 192 "LIN" FALSE ""
0.1 200 "EXP" 0 39 193 "EXP" FALSE ""
1.5 40 "EXP" 0.1 18 194 "LIN" FALSE ""
0.9 100 "LIN" 0.2 2 195 "LIN" FALSE ""
1.5 40 "LIN" 0.2 33 196 "LIN" FALSE ""
1.5 20 "EXP" 0 13 197 "LIN" FALSE ""
1.3 60 "LIN" 0.2 1 198 "LIN" FALSE ""
0.5 80 "LIN" 0 66 199 "LIN" FALSE ""
1.5 40 "LIN" 0.2 55 200 "LIN" FALSE ""
0.1 200 "EXP" 0.2 30 201 "EXP" FALSE ""
1.5 80 "LIN" 0.2 8 202 "LIN" FALSE ""
1.5 80 "LIN" 0 92 203 "LIN" FALSE ""
0.5 60 "EXP" 0.2 11 204 "LIN" FALSE ""
1.5 200 "EXP" 0.2 87 205 "LIN" FALSE ""
0.5 40 "EXP" 0.2 73 206 "EXP" FALSE ""
0.9 40 "LIN" 0 11 207 "EXP" FALSE ""
0.9 20 "LIN" 0.1 77 208 "LIN" FALSE ""
1.3 20 "EXP" 0.2 23 209 "LIN" FALSE ""
1.3 20 "LIN" 0 94 210 "LIN" FALSE ""
0.9 100 "EXP" 0 92 211 "EXP" FALSE ""
2 100 "LIN" 0.2 47 212 "LIN" FALSE ""
0.5 60 "LIN" 0.2 85 213 "LIN" FALSE ""
0.9 200 "EXP" 0.2 35 214 "EXP" FALSE ""
